WO_ID,Date,Equipment_Tag,Type,Problem_Text,Action_Text,Technician,Downtime_Hrs,Status
WO-1468,2021-07-02,P-101B,preventive,gland leak minor,"tightnd gland, ok",K. Menon,3,closed
WO-1360,2021-07-07,FV-112,preventive,positioner drift,recalib positioner,M. Das,1,closed
WO-1476,2021-07-18,V-201,preventive,spares availability chk,verified in store,N. Rao,2,closed
WO-1350,2021-07-24,PT-108,preventive,spares availability chk,verified in store,P. Nair,6,closed
WO-1180,2021-07-29,PT-108,preventive,tag/label refresh,relabelled,P. Nair,1,closed
WO-1191,2021-08-13,E-301,preventive,spares availability chk,verified in store,R. Sharma,6,closed
WO-1435,2021-08-16,P-101B,preventive,lube top-up,"greased, ok",V. Reddy,1,closed
WO-1506,2021-08-18,V-201,preventive,tag/label refresh,relabelled,M. Das,6,closed
WO-1182,2021-08-21,P-101B,preventive,housekeeping round,area cleaned,N. Rao,6,closed
WO-1530,2021-08-23,PT-108,preventive,cln unit exterior,cleaned,V. Reddy,3,closed
WO-1424,2021-08-25,V-201,preventive,condition monitoring reading,"reading normal, filed",J. Patel,3,closed
WO-1019,2021-09-04,PT-108,preventive,xmtr reading drift,recalib xmtr,V. Reddy,8,closed
WO-1175,2021-09-07,P-101A,preventive,housekeeping round,area cleaned,N. Rao,6,closed
WO-1369,2021-09-07,E-301,preventive,spares availability chk,verified in store,J. Patel,0,closed
WO-1597,2021-09-11,FV-112,preventive,positioner drift,recalib positioner,N. Rao,3,closed
WO-1157,2021-09-14,T-401,preventive,routine insp,no abnrml found,S. Iyer,6,closed
WO-1137,2021-09-20,C-501,preventive,spares availability chk,verified in store,K. Menon,6,closed
WO-1063,2021-09-24,P-101A,preventive,gland leak minor,"tightnd gland, ok",P. Nair,6,closed
WO-1509,2021-09-28,V-201,preventive,lube top-up,"greased, ok",M. Das,8,closed
WO-1015,2021-10-02,PT-108,preventive,lube top-up,"greased, ok",M. Das,4,closed
WO-1385,2021-10-02,PT-108,preventive,abnrml reading susp,"chkd, recalib",N. Rao,3,closed
WO-1308,2021-10-12,C-501,preventive,lube top-up,"greased, ok",P. Nair,8,closed
WO-1312,2021-10-12,E-301,preventive,routine pm as per schedule,"completed, no abnrml found",P. Nair,12,closed
WO-1125,2021-10-14,C-501,preventive,cln unit exterior,cleaned,P. Nair,12,closed
WO-1101,2021-10-15,P-101B,preventive,condition monitoring reading,"reading normal, filed",V. Reddy,3,closed
WO-1221,2021-10-21,P-101A,preventive,spares availability chk,verified in store,R. Sharma,3,closed
WO-1496,2021-10-22,C-501,preventive,paint touch-up,done,J. Patel,2,closed
WO-1536,2021-10-24,V-201,preventive,lube top-up,"greased, ok",M. Das,3,closed
WO-1595,2021-10-25,V-201,preventive,6-monthly insp,"insp ok, within limit",N. Rao,8,closed
WO-1459,2021-10-30,P-101B,preventive,tag/label refresh,relabelled,P. Nair,2,closed
WO-1392,2021-11-01,E-301,preventive,paint touch-up,done,N. Rao,12,closed
WO-1199,2021-11-02,C-501,preventive,routine pm as per schedule,"completed, no abnrml found",J. Patel,8,closed
WO-1511,2021-11-05,T-401,preventive,spares availability chk,verified in store,K. Menon,2,closed
WO-1271,2021-11-07,C-501,preventive,cln unit exterior,cleaned,J. Patel,0,closed
WO-1593,2021-11-08,FV-112,preventive,housekeeping round,area cleaned,V. Reddy,4,closed
WO-1201,2021-11-12,P-101B,preventive,cln unit exterior,cleaned,S. Iyer,4,closed
WO-1293,2021-11-12,V-201,preventive,lube top-up,"greased, ok",P. Nair,8,closed
WO-1581,2021-11-12,P-101A,preventive,cln unit exterior,cleaned,P. Nair,8,closed
WO-1001,2021-11-15,P-101A,corrective,"brg noise p101a hi vib, excsv vibn DE end","monitored, vibn trending up, seel chk advised",R. Sharma,4,closed
WO-1234,2021-11-17,PT-108,preventive,abnrml reading susp,"chkd, recalib",J. Patel,12,closed
WO-1391,2021-11-17,P-101A,preventive,6-monthly insp,"insp ok, within limit",S. Iyer,0,closed
WO-1049,2021-11-18,P-101A,corrective,"brg noise, minor vib","lubd brg, chkd algn",N. Rao,1,closed
WO-1502,2021-11-19,E-301,corrective,dp hi susp choke,"chkd, cln plan raised",J. Patel,4,closed
WO-1224,2021-11-25,E-301,preventive,paint touch-up,done,K. Menon,0,closed
WO-1304,2021-11-27,E-301,preventive,channel gskt weep,tightnd bolts,R. Sharma,2,closed
WO-1002,2021-11-28,P-101A,corrective,"mech seel lkg p101a, seel failure, oil on baseplate","chng mech seel, algn chkd, brg inspd",M. Das,3,closed
WO-1551,2021-11-28,P-101B,preventive,gland leak minor,"tightnd gland, ok",R. Sharma,4,closed
WO-1235,2021-11-29,FV-112,preventive,vlv stiff opn,adj positioner,P. Nair,12,closed
WO-1552,2021-11-29,P-101A,preventive,lube top-up,"greased, ok",V. Reddy,2,closed
WO-1513,2021-11-30,PT-108,preventive,6-monthly insp,"insp ok, within limit",M. Das,2,closed
WO-1546,2021-12-07,P-101B,preventive,gland leak minor,"tightnd gland, ok",M. Das,6,closed
WO-1014,2021-12-09,C-501,preventive,tag/label refresh,relabelled,T. Bose,4,closed
WO-1031,2021-12-09,P-101A,preventive,spares availability chk,verified in store,A. Khan,12,closed
WO-1261,2021-12-10,C-501,preventive,routine pm as per schedule,"completed, no abnrml found",R. Sharma,4,closed
WO-1289,2021-12-27,P-101B,preventive,housekeeping round,area cleaned,V. Reddy,6,closed
WO-1516,2022-01-02,FV-112,preventive,lube top-up,"greased, ok",S. Iyer,4,closed
WO-1242,2022-01-10,P-101A,preventive,routine pm - vibn chk,"vibn within limit, cln done",T. Bose,8,closed
WO-1395,2022-01-14,T-401,preventive,routine insp,no abnrml found,T. Bose,2,closed
WO-1430,2022-01-18,PT-108,preventive,abnrml reading susp,"chkd, recalib",P. Nair,3,closed
WO-1054,2022-01-21,P-101A,preventive,spares availability chk,verified in store,A. Khan,3,closed
WO-1338,2022-01-22,P-101B,preventive,housekeeping round,area cleaned,S. Iyer,0,closed
WO-1012,2022-01-26,FV-112,preventive,paint touch-up,done,A. Khan,8,closed
WO-1343,2022-02-05,P-101A,preventive,spares availability chk,verified in store,V. Reddy,4,closed
WO-1062,2022-02-15,V-201,corrective,level gauge foggy,cln level gauge,A. Khan,2,closed
WO-1356,2022-02-15,PT-108,preventive,spares availability chk,verified in store,R. Sharma,3,closed
WO-1219,2022-02-19,T-401,preventive,condition monitoring reading,"reading normal, filed",V. Reddy,8,closed
WO-1230,2022-02-19,PT-108,corrective,xmtr reading drift,recalib xmtr,T. Bose,3,closed
WO-1491,2022-02-23,P-101A,preventive,tag/label refresh,relabelled,J. Patel,0,closed
WO-1364,2022-02-28,V-201,preventive,paint touch-up,done,S. Iyer,8,closed
WO-1492,2022-03-02,FV-112,preventive,cln unit exterior,cleaned,R. Sharma,2,closed
WO-1520,2022-03-06,P-101B,preventive,cln unit exterior,cleaned,R. Sharma,0,closed
WO-1584,2022-03-11,PT-108,corrective,abnrml reading susp,"chkd, recalib",R. Sharma,3,closed
WO-1296,2022-03-22,V-201,corrective,relief vlv insp due,relief vlv tested ok,K. Menon,0,closed
WO-1146,2022-03-26,P-101A,preventive,condition monitoring reading,"reading normal, filed",P. Nair,12,closed
WO-1195,2022-03-27,P-101B,preventive,routine pm as per schedule,"completed, no abnrml found",R. Sharma,6,closed
WO-1472,2022-03-29,P-101A,preventive,lube top-up,"greased, ok",N. Rao,3,closed
WO-1353,2022-03-31,PT-108,preventive,6-monthly insp,"insp ok, within limit",J. Patel,2,closed
WO-1344,2022-04-01,C-501,corrective,oil leak minor,"tightnd flange, cln",T. Bose,12,closed
WO-1185,2022-04-04,P-101B,preventive,condition monitoring reading,"reading normal, filed",K. Menon,12,closed
WO-1475,2022-04-07,P-101B,preventive,fastener/guard chk,"retightened, ok",K. Menon,2,closed
WO-1415,2022-04-11,V-201,preventive,cln unit exterior,cleaned,P. Nair,4,closed
WO-1320,2022-04-13,V-201,preventive,condition monitoring reading,"reading normal, filed",V. Reddy,6,closed
WO-1478,2022-04-13,C-501,corrective,hi vib alarm,"chkd algn, lubd brg",A. Khan,8,closed
WO-1179,2022-04-15,P-101B,preventive,lube top-up,"greased, ok",M. Das,8,closed
WO-1021,2022-04-19,C-501,preventive,housekeeping round,area cleaned,P. Nair,2,closed
WO-1575,2022-04-21,P-101A,preventive,tag/label refresh,relabelled,N. Rao,8,closed
WO-1376,2022-04-22,E-301,corrective,channel gskt weep,tightnd bolts,J. Patel,0,closed
WO-1008,2022-04-27,P-101A,preventive,pm - seel & brg condition chk,"insp ok, lubd",T. Bose,3,closed
WO-1193,2022-04-29,E-301,preventive,dp hi susp choke,"chkd, cln plan raised",N. Rao,0,closed
WO-1517,2022-04-30,P-101A,preventive,paint touch-up,done,A. Khan,3,closed
WO-1572,2022-05-03,P-101A,preventive,cplg guard loose,cplg guard refitted,S. Iyer,1,closed
WO-1499,2022-05-04,P-101A,preventive,tag/label refresh,relabelled,S. Iyer,0,closed
WO-1232,2022-05-10,FV-112,preventive,spares availability chk,verified in store,A. Khan,2,closed
WO-1557,2022-05-11,T-401,preventive,housekeeping round,area cleaned,R. Sharma,6,closed
WO-1250,2022-05-12,PT-108,corrective,xmtr reading drift,recalib xmtr,S. Iyer,2,closed
WO-1248,2022-05-14,E-301,preventive,cln unit exterior,cleaned,A. Khan,4,closed
WO-1367,2022-05-14,E-301,preventive,paint touch-up,done,P. Nair,3,closed
WO-1130,2022-05-18,E-301,preventive,lube top-up,"greased, ok",M. Das,2,closed
WO-1011,2022-05-23,FV-112,corrective,vlv stiff opn,adj positioner,K. Menon,6,closed
WO-1254,2022-05-28,T-401,preventive,tag/label refresh,relabelled,M. Das,2,closed
WO-1297,2022-06-03,P-101B,preventive,fastener/guard chk,"retightened, ok",S. Iyer,6,closed
WO-1279,2022-06-07,C-501,preventive,tag/label refresh,relabelled,J. Patel,6,closed
WO-1416,2022-06-08,FV-112,preventive,lube top-up,"greased, ok",K. Menon,4,closed
WO-1568,2022-06-08,P-101B,preventive,cplg guard loose,cplg guard refitted,M. Das,3,closed
WO-1104,2022-06-09,C-501,preventive,paint touch-up,done,N. Rao,1,closed
WO-1389,2022-06-12,C-501,preventive,paint touch-up,done,S. Iyer,12,closed
WO-1559,2022-06-15,E-301,preventive,6-monthly insp,"insp ok, within limit",P. Nair,1,closed
WO-1329,2022-06-20,C-501,preventive,paint touch-up,done,J. Patel,6,closed
WO-1196,2022-06-22,E-301,preventive,routine pm as per schedule,"completed, no abnrml found",P. Nair,0,closed
WO-1223,2022-06-25,P-101A,preventive,tag/label refresh,relabelled,S. Iyer,8,closed
WO-1585,2022-06-29,PT-108,preventive,housekeeping round,area cleaned,J. Patel,6,closed
WO-1071,2022-07-01,P-101A,preventive,fastener/guard chk,"retightened, ok",N. Rao,4,closed
WO-1122,2022-07-03,P-101B,preventive,routine pm - vibn chk,"vibn within limit, cln done",P. Nair,0,closed
WO-1362,2022-07-04,C-501,preventive,tag/label refresh,relabelled,S. Iyer,8,closed
WO-1113,2022-07-08,PT-108,preventive,paint touch-up,done,J. Patel,3,closed
WO-1348,2022-07-14,P-101B,preventive,lube top-up,"greased, ok",S. Iyer,12,closed
WO-1561,2022-07-14,P-101B,preventive,tag/label refresh,relabelled,V. Reddy,8,closed
WO-1412,2022-07-19,FV-112,preventive,lube top-up,"greased, ok",K. Menon,12,closed
WO-1041,2022-07-25,T-401,preventive,routine insp,no abnrml found,T. Bose,12,closed
WO-1073,2022-07-25,P-101B,preventive,spares availability chk,verified in store,P. Nair,0,closed
WO-1326,2022-07-26,E-301,preventive,lube top-up,"greased, ok",R. Sharma,12,closed
WO-1440,2022-08-08,P-101B,preventive,gland leak minor,"tightnd gland, ok",J. Patel,1,closed
WO-1522,2022-08-09,P-101B,preventive,lube top-up,"greased, ok",J. Patel,2,closed
WO-1170,2022-08-12,FV-112,preventive,fastener/guard chk,"retightened, ok",K. Menon,12,closed
WO-1528,2022-08-13,FV-112,preventive,tag/label refresh,relabelled,T. Bose,3,closed
WO-1288,2022-08-14,FV-112,preventive,housekeeping round,area cleaned,A. Khan,2,closed
WO-1291,2022-08-16,V-201,preventive,relief vlv insp due,relief vlv tested ok,S. Iyer,3,closed
WO-1305,2022-08-22,C-501,preventive,housekeeping round,area cleaned,V. Reddy,2,closed
WO-1555,2022-08-25,V-201,preventive,paint touch-up,done,M. Das,8,closed
WO-1439,2022-08-26,T-401,preventive,6-monthly insp,"insp ok, within limit",P. Nair,1,closed
WO-1403,2022-08-29,V-201,preventive,level gauge foggy,cln level gauge,N. Rao,2,closed
WO-1099,2022-09-07,P-101A,preventive,paint touch-up,done,J. Patel,6,closed
WO-1247,2022-09-12,P-101A,preventive,cln unit exterior,cleaned,V. Reddy,12,closed
WO-1335,2022-09-12,C-501,preventive,housekeeping round,area cleaned,M. Das,4,closed
WO-1600,2022-09-29,V-201,corrective,level gauge foggy,cln level gauge,V. Reddy,3,closed
WO-1081,2022-10-04,P-101B,corrective,gland leak minor,"tightnd gland, ok",M. Das,2,closed
WO-1331,2022-10-04,E-301,preventive,fastener/guard chk,"retightened, ok",P. Nair,4,closed
WO-1337,2022-10-06,E-301,preventive,condition monitoring reading,"reading normal, filed",M. Das,0,closed
WO-1162,2022-10-09,P-101B,preventive,fastener/guard chk,"retightened, ok",A. Khan,8,closed
WO-1578,2022-10-10,FV-112,corrective,vlv stiff opn,adj positioner,S. Iyer,4,closed
WO-1036,2022-10-12,E-301,preventive,routine pm as per schedule,"completed, no abnrml found",A. Khan,0,closed
WO-1173,2022-10-15,C-501,corrective,oil leak minor,"tightnd flange, cln",N. Rao,6,closed
WO-1387,2022-10-15,FV-112,preventive,paint touch-up,done,K. Menon,3,closed
WO-1371,2022-10-23,V-201,preventive,fastener/guard chk,"retightened, ok",N. Rao,6,closed
WO-1349,2022-10-26,PT-108,preventive,xmtr reading drift,recalib xmtr,J. Patel,4,closed
WO-1231,2022-10-27,PT-108,preventive,cln unit exterior,cleaned,A. Khan,2,closed
WO-1065,2022-10-28,T-401,corrective,routine insp,no abnrml found,S. Iyer,2,closed
WO-1556,2022-10-30,FV-112,preventive,fastener/guard chk,"retightened, ok",A. Khan,0,closed
WO-1052,2022-11-01,FV-112,preventive,paint touch-up,done,P. Nair,8,closed
WO-1155,2022-11-02,C-501,corrective,hi vib alarm,"chkd algn, lubd brg",N. Rao,8,closed
WO-1252,2022-11-02,FV-112,preventive,positioner drift,recalib positioner,P. Nair,12,closed
WO-1404,2022-11-05,T-401,preventive,vent choke susp,"cln vent, ok",N. Rao,8,closed
WO-1532,2022-11-06,E-301,preventive,dp hi susp choke,"chkd, cln plan raised",P. Nair,0,closed
WO-1228,2022-11-11,P-101B,preventive,lube top-up,"greased, ok",K. Menon,8,closed
WO-1112,2022-11-12,P-101B,preventive,housekeeping round,area cleaned,J. Patel,8,closed
WO-1050,2022-11-17,E-301,preventive,spares availability chk,verified in store,N. Rao,0,closed
WO-1102,2022-11-19,P-101B,corrective,"brg noise, minor vib","lubd brg, chkd algn",M. Das,0,closed
WO-1479,2022-11-20,PT-108,corrective,abnrml reading susp,"chkd, recalib",P. Nair,1,closed
WO-1127,2022-11-21,V-201,preventive,level gauge foggy,cln level gauge,A. Khan,8,closed
WO-1174,2022-11-26,E-301,preventive,spares availability chk,verified in store,S. Iyer,1,closed
WO-1396,2022-11-29,E-301,preventive,condition monitoring reading,"reading normal, filed",V. Reddy,4,closed
WO-1426,2022-11-30,V-201,preventive,6-monthly insp,"insp ok, within limit",S. Iyer,8,closed
WO-1377,2022-12-05,T-401,preventive,routine insp,no abnrml found,M. Das,6,closed
WO-1388,2022-12-10,C-501,preventive,paint touch-up,done,J. Patel,12,closed
WO-1486,2022-12-19,P-101A,preventive,routine pm as per schedule,"completed, no abnrml found",M. Das,0,closed
WO-1495,2022-12-21,PT-108,corrective,abnrml reading susp,"chkd, recalib",N. Rao,1,closed
WO-1562,2022-12-22,PT-108,preventive,routine pm as per schedule,"completed, no abnrml found",J. Patel,12,closed
WO-1302,2022-12-25,P-101A,preventive,spares availability chk,verified in store,M. Das,8,closed
WO-1003,2022-12-29,P-101A,corrective,"brg noise p101a hi vib, excsv vibn DE end","monitored, vibn trending up, seel chk advised",A. Khan,1,closed
WO-1111,2023-01-01,C-501,preventive,spares availability chk,verified in store,V. Reddy,3,closed
WO-1588,2023-01-03,E-301,preventive,6-monthly insp,"insp ok, within limit",K. Menon,0,closed
WO-1018,2023-01-04,E-301,preventive,tag/label refresh,relabelled,T. Bose,3,closed
WO-1256,2023-01-10,P-101B,preventive,cln unit exterior,cleaned,J. Patel,2,closed
WO-1407,2023-01-11,T-401,preventive,vent choke susp,"cln vent, ok",J. Patel,12,closed
WO-1004,2023-01-12,P-101A,corrective,"mech seel lkg p101a, seel failure, oil on baseplate","chng mech seel, algn chkd, brg inspd",N. Rao,8,closed
WO-1172,2023-01-14,FV-112,preventive,tag/label refresh,relabelled,R. Sharma,0,closed
WO-1299,2023-01-14,FV-112,preventive,condition monitoring reading,"reading normal, filed",S. Iyer,4,closed
WO-1525,2023-01-15,PT-108,preventive,cln unit exterior,cleaned,P. Nair,12,closed
WO-1037,2023-01-22,PT-108,preventive,6-monthly insp,"insp ok, within limit",J. Patel,3,closed
WO-1168,2023-02-10,FV-112,preventive,housekeeping round,area cleaned,T. Bose,2,closed
WO-1334,2023-02-10,T-401,preventive,routine insp,no abnrml found,A. Khan,6,closed
WO-1142,2023-02-11,PT-108,preventive,housekeeping round,area cleaned,K. Menon,0,closed
WO-1262,2023-02-11,E-301,preventive,channel gskt weep,tightnd bolts,M. Das,4,closed
WO-1451,2023-02-12,P-101A,preventive,condition monitoring reading,"reading normal, filed",S. Iyer,12,closed
WO-1222,2023-02-13,FV-112,corrective,vlv stiff opn,adj positioner,V. Reddy,1,closed
WO-1226,2023-02-13,T-401,preventive,tag/label refresh,relabelled,A. Khan,8,closed
WO-1458,2023-02-13,V-201,preventive,fastener/guard chk,"retightened, ok",N. Rao,4,closed
WO-1303,2023-02-14,P-101A,preventive,condition monitoring reading,"reading normal, filed",P. Nair,12,closed
WO-1164,2023-02-21,P-101A,preventive,routine pm as per schedule,"completed, no abnrml found",V. Reddy,6,closed
WO-1454,2023-03-02,T-401,preventive,6-monthly insp,"insp ok, within limit",R. Sharma,12,closed
WO-1094,2023-03-04,T-401,preventive,paint touch-up,done,K. Menon,8,closed
WO-1057,2023-03-06,P-101A,preventive,condition monitoring reading,"reading normal, filed",A. Khan,2,closed
WO-1078,2023-03-15,T-401,preventive,routine pm as per schedule,"completed, no abnrml found",P. Nair,3,closed
WO-1184,2023-03-16,P-101B,preventive,routine pm as per schedule,"completed, no abnrml found",J. Patel,1,closed
WO-1117,2023-03-20,FV-112,preventive,6-monthly insp,"insp ok, within limit",N. Rao,6,closed
WO-1119,2023-03-20,PT-108,preventive,fastener/guard chk,"retightened, ok",P. Nair,3,closed
WO-1411,2023-03-24,PT-108,preventive,routine pm as per schedule,"completed, no abnrml found",J. Patel,6,closed
WO-1245,2023-03-27,V-201,preventive,lube top-up,"greased, ok",T. Bose,8,closed
WO-1490,2023-03-28,PT-108,preventive,lube top-up,"greased, ok",K. Menon,3,closed
