WO_ID,Date,Equipment_Tag,Type,Problem_Text,Action_Text,Technician,Downtime_Hrs,Status
WO-1300,2024-10-25,P-101B,preventive,cln unit exterior,cleaned,N. Rao,2,closed
WO-1114,2024-11-02,PT-108,preventive,abnrml reading susp,"chkd, recalib",P. Nair,0,closed
WO-1264,2024-11-04,P-101B,preventive,housekeeping round,area cleaned,T. Bose,0,closed
WO-1379,2024-11-16,FV-112,preventive,spares availability chk,verified in store,R. Sharma,1,closed
WO-1013,2024-11-18,P-101B,preventive,paint touch-up,done,P. Nair,0,closed
WO-1481,2024-11-24,P-101A,preventive,routine pm - vibn chk,"vibn within limit, cln done",T. Bose,3,closed
WO-1129,2024-11-30,FV-112,preventive,routine pm as per schedule,"completed, no abnrml found",A. Khan,3,closed
WO-1330,2024-12-01,PT-108,preventive,fastener/guard chk,"retightened, ok",J. Patel,3,closed
WO-1456,2024-12-01,E-301,corrective,channel gskt weep,tightnd bolts,K. Menon,2,closed
WO-1082,2024-12-03,P-101A,preventive,housekeeping round,area cleaned,A. Khan,12,closed
WO-1429,2024-12-06,P-101B,preventive,routine pm - vibn chk,"vibn within limit, cln done",R. Sharma,8,closed
WO-1198,2024-12-11,P-101B,preventive,6-monthly insp,"insp ok, within limit",R. Sharma,4,closed
WO-1280,2024-12-11,C-501,preventive,paint touch-up,done,K. Menon,4,closed
WO-1368,2024-12-11,P-101B,preventive,tag/label refresh,relabelled,R. Sharma,3,closed
WO-1187,2024-12-12,T-401,preventive,housekeeping round,area cleaned,K. Menon,4,closed
WO-1526,2024-12-15,V-201,preventive,spares availability chk,verified in store,M. Das,4,closed
WO-1217,2024-12-17,P-101B,preventive,gland leak minor,"tightnd gland, ok",R. Sharma,1,closed
WO-1227,2024-12-17,P-101A,corrective,gland leak minor,"tightnd gland, ok",J. Patel,6,closed
WO-1075,2024-12-28,T-401,preventive,paint touch-up,done,V. Reddy,1,closed
WO-1467,2025-01-03,C-501,preventive,hi vib alarm,"chkd algn, lubd brg",J. Patel,0,closed
WO-1461,2025-01-06,C-501,preventive,fastener/guard chk,"retightened, ok",K. Menon,8,closed
WO-1477,2025-01-07,C-501,preventive,6-monthly insp,"insp ok, within limit",S. Iyer,8,closed
WO-1487,2025-01-08,P-101A,corrective,cplg guard loose,cplg guard refitted,T. Bose,8,closed
WO-1437,2025-01-10,T-401,corrective,routine insp,no abnrml found,S. Iyer,2,closed
WO-1422,2025-01-17,T-401,corrective,vent choke susp,"cln vent, ok",J. Patel,3,closed
WO-1602,2025-01-20,C-501,preventive,oil leak minor,"tightnd flange, cln",N. Rao,1,closed
WO-1167,2025-01-27,C-501,preventive,hi vib alarm,"chkd algn, lubd brg",P. Nair,12,closed
WO-1483,2025-01-27,T-401,preventive,housekeeping round,area cleaned,N. Rao,1,closed
WO-1598,2025-01-28,PT-108,corrective,xmtr reading drift,recalib xmtr,J. Patel,6,closed
WO-1263,2025-01-29,P-101B,preventive,tag/label refresh,relabelled,N. Rao,12,closed
WO-1488,2025-02-01,T-401,preventive,lube top-up,"greased, ok",T. Bose,2,closed
WO-1400,2025-02-10,V-201,preventive,tag/label refresh,relabelled,V. Reddy,1,closed
WO-1040,2025-02-13,C-501,corrective,hi vib alarm,"chkd algn, lubd brg",A. Khan,0,closed
WO-1589,2025-02-15,P-101A,preventive,cln unit exterior,cleaned,S. Iyer,0,closed
WO-1134,2025-02-16,T-401,preventive,6-monthly insp,"insp ok, within limit",S. Iyer,4,closed
WO-1149,2025-02-16,P-101B,preventive,lube top-up,"greased, ok",S. Iyer,12,closed
WO-1383,2025-02-18,FV-112,preventive,condition monitoring reading,"reading normal, filed",V. Reddy,4,closed
WO-1110,2025-02-22,T-401,preventive,condition monitoring reading,"reading normal, filed",P. Nair,12,closed
WO-1398,2025-02-28,E-301,preventive,lube top-up,"greased, ok",R. Sharma,1,closed
WO-1554,2025-02-28,C-501,preventive,tag/label refresh,relabelled,S. Iyer,8,closed
WO-1596,2025-03-04,PT-108,preventive,routine pm as per schedule,"completed, no abnrml found",J. Patel,4,closed
WO-1372,2025-03-14,PT-108,preventive,cln unit exterior,cleaned,T. Bose,3,closed
WO-1278,2025-03-15,PT-108,preventive,paint touch-up,done,P. Nair,4,closed
WO-1046,2025-03-17,FV-112,preventive,condition monitoring reading,"reading normal, filed",J. Patel,2,closed
WO-1266,2025-03-22,E-301,preventive,cln unit exterior,cleaned,A. Khan,6,closed
WO-1470,2025-03-22,PT-108,preventive,paint touch-up,done,S. Iyer,0,closed
WO-1064,2025-03-27,P-101A,corrective,gland leak minor,"tightnd gland, ok",A. Khan,6,closed
WO-1086,2025-03-29,P-101B,preventive,housekeeping round,area cleaned,T. Bose,6,closed
WO-1103,2025-04-02,V-201,preventive,housekeeping round,area cleaned,A. Khan,3,closed
WO-1138,2025-04-11,FV-112,preventive,6-monthly insp,"insp ok, within limit",N. Rao,0,closed
WO-1251,2025-04-16,V-201,preventive,relief vlv insp due,relief vlv tested ok,M. Das,12,closed
WO-1333,2025-04-16,FV-112,preventive,spares availability chk,verified in store,T. Bose,8,closed
WO-1518,2025-04-17,PT-108,preventive,routine pm as per schedule,"completed, no abnrml found",P. Nair,4,closed
WO-1077,2025-04-18,V-201,preventive,tag/label refresh,relabelled,S. Iyer,4,closed
WO-1282,2025-04-19,P-101A,preventive,spares availability chk,verified in store,J. Patel,0,closed
WO-1295,2025-04-23,V-201,preventive,relief vlv insp due,relief vlv tested ok,T. Bose,6,closed
WO-1569,2025-04-30,V-201,preventive,lube top-up,"greased, ok",K. Menon,3,closed
WO-1074,2025-05-07,T-401,preventive,condition monitoring reading,"reading normal, filed",M. Das,6,closed
WO-1206,2025-05-07,FV-112,preventive,cln unit exterior,cleaned,J. Patel,1,closed
WO-1006,2025-05-09,P-101A,corrective,"brg noise p101a hi vib, excsv vibn DE end","monitored, vibn trending up, seel chk advised",M. Das,3,closed
WO-1352,2025-05-14,T-401,preventive,fastener/guard chk,"retightened, ok",A. Khan,4,closed
WO-1106,2025-05-15,T-401,preventive,routine insp,no abnrml found,M. Das,1,closed
WO-1327,2025-05-15,PT-108,preventive,tag/label refresh,relabelled,M. Das,8,closed
WO-1576,2025-05-15,P-101A,preventive,paint touch-up,done,M. Das,0,closed
WO-1548,2025-05-20,P-101A,preventive,6-monthly insp,"insp ok, within limit",A. Khan,6,closed
WO-1007,2025-05-21,P-101A,corrective,"mech seel lkg p101a, seel failure, oil on baseplate","chng mech seel, algn chkd, brg inspd",T. Bose,0,closed
WO-1444,2025-05-21,FV-112,preventive,paint touch-up,done,S. Iyer,8,closed
WO-1542,2025-05-21,PT-108,preventive,condition monitoring reading,"reading normal, filed",N. Rao,6,closed
WO-1091,2025-05-22,V-201,preventive,tag/label refresh,relabelled,S. Iyer,3,closed
WO-1163,2025-05-22,P-101B,preventive,"brg noise, minor vib","lubd brg, chkd algn",P. Nair,0,closed
WO-1464,2025-05-29,P-101B,corrective,cplg guard loose,cplg guard refitted,V. Reddy,1,closed
WO-1136,2025-06-03,C-501,preventive,fastener/guard chk,"retightened, ok",K. Menon,4,closed
WO-1183,2025-06-05,E-301,preventive,housekeeping round,area cleaned,P. Nair,8,closed
WO-1428,2025-06-06,T-401,preventive,paint touch-up,done,T. Bose,1,closed
WO-1017,2025-06-07,PT-108,preventive,fastener/guard chk,"retightened, ok",A. Khan,2,closed
WO-1544,2025-06-07,V-201,preventive,routine pm as per schedule,"completed, no abnrml found",N. Rao,8,closed
WO-1213,2025-06-09,FV-112,preventive,fastener/guard chk,"retightened, ok",P. Nair,6,closed
WO-1287,2025-06-11,P-101B,preventive,fastener/guard chk,"retightened, ok",J. Patel,3,closed
WO-1132,2025-06-17,FV-112,preventive,fastener/guard chk,"retightened, ok",P. Nair,12,closed
WO-1449,2025-06-24,T-401,preventive,tag/label refresh,relabelled,J. Patel,12,closed
WO-1200,2025-06-28,T-401,preventive,housekeeping round,area cleaned,J. Patel,1,closed
WO-1590,2025-06-29,E-301,preventive,fastener/guard chk,"retightened, ok",P. Nair,8,closed
WO-1409,2025-06-30,P-101B,corrective,routine pm - vibn chk,"vibn within limit, cln done",A. Khan,1,closed
WO-1239,2025-07-02,P-101A,preventive,paint touch-up,done,A. Khan,2,closed
WO-1059,2025-07-09,FV-112,preventive,6-monthly insp,"insp ok, within limit",V. Reddy,3,closed
WO-1480,2025-07-16,E-301,preventive,spares availability chk,verified in store,N. Rao,4,closed
WO-1434,2025-07-18,PT-108,preventive,housekeeping round,area cleaned,J. Patel,6,closed
WO-1096,2025-07-23,T-401,preventive,tag/label refresh,relabelled,S. Iyer,12,closed
WO-1378,2025-07-23,P-101B,preventive,routine pm - vibn chk,"vibn within limit, cln done",M. Das,0,closed
WO-1570,2025-07-29,V-201,preventive,level gauge foggy,cln level gauge,A. Khan,1,closed
WO-1541,2025-08-08,FV-112,preventive,cln unit exterior,cleaned,K. Menon,12,closed
WO-1494,2025-08-10,V-201,preventive,fastener/guard chk,"retightened, ok",A. Khan,0,closed
WO-1269,2025-08-14,E-301,corrective,dp hi susp choke,"chkd, cln plan raised",V. Reddy,2,closed
WO-1346,2025-08-17,FV-112,preventive,routine pm as per schedule,"completed, no abnrml found",V. Reddy,4,closed
WO-1321,2025-08-23,V-201,preventive,spares availability chk,verified in store,P. Nair,6,closed
WO-1410,2025-08-23,FV-112,preventive,cln unit exterior,cleaned,K. Menon,6,closed
WO-1504,2025-08-23,E-301,preventive,fastener/guard chk,"retightened, ok",N. Rao,3,closed
WO-1336,2025-08-26,FV-112,preventive,spares availability chk,verified in store,N. Rao,3,closed
WO-1580,2025-08-26,E-301,preventive,tag/label refresh,relabelled,J. Patel,6,closed
WO-1381,2025-08-27,P-101A,preventive,6-monthly insp,"insp ok, within limit",A. Khan,12,closed
WO-1058,2025-08-29,FV-112,preventive,lube top-up,"greased, ok",T. Bose,2,closed
WO-1275,2025-08-31,P-101B,corrective,cplg guard loose,cplg guard refitted,J. Patel,8,closed
WO-1207,2025-09-02,P-101B,preventive,"brg noise, minor vib","lubd brg, chkd algn",V. Reddy,2,closed
WO-1156,2025-09-03,E-301,preventive,channel gskt weep,tightnd bolts,J. Patel,8,closed
WO-1229,2025-09-05,P-101B,preventive,fastener/guard chk,"retightened, ok",V. Reddy,3,closed
WO-1586,2025-09-11,PT-108,preventive,fastener/guard chk,"retightened, ok",A. Khan,4,closed
WO-1026,2025-09-15,P-101B,preventive,condition monitoring reading,"reading normal, filed",P. Nair,6,closed
WO-1088,2025-09-17,V-201,preventive,level gauge foggy,cln level gauge,M. Das,4,closed
WO-1365,2025-09-26,V-201,corrective,relief vlv insp due,relief vlv tested ok,R. Sharma,4,closed
WO-1145,2025-09-27,E-301,preventive,spares availability chk,verified in store,J. Patel,12,closed
WO-1121,2025-10-04,E-301,corrective,channel gskt weep,tightnd bolts,T. Bose,4,closed
WO-1233,2025-10-04,C-501,preventive,spares availability chk,verified in store,N. Rao,12,closed
WO-1453,2025-10-04,PT-108,preventive,routine pm as per schedule,"completed, no abnrml found",J. Patel,3,closed
WO-1485,2025-10-10,PT-108,preventive,cln unit exterior,cleaned,J. Patel,1,closed
WO-1316,2025-10-13,P-101B,preventive,housekeeping round,area cleaned,T. Bose,4,closed
WO-1192,2025-10-15,E-301,preventive,dp hi susp choke,"chkd, cln plan raised",T. Bose,3,closed
WO-1340,2025-10-22,PT-108,preventive,routine pm as per schedule,"completed, no abnrml found",A. Khan,3,closed
WO-1515,2025-10-25,T-401,preventive,paint touch-up,done,M. Das,12,closed
WO-1061,2025-10-27,T-401,preventive,routine insp,no abnrml found,S. Iyer,4,closed
WO-1505,2025-10-30,C-501,preventive,housekeeping round,area cleaned,M. Das,3,closed
WO-1539,2025-11-02,P-101A,preventive,cln unit exterior,cleaned,A. Khan,6,closed
WO-1325,2025-11-03,C-501,preventive,spares availability chk,verified in store,K. Menon,2,closed
WO-1159,2025-11-17,T-401,preventive,routine insp,no abnrml found,P. Nair,6,closed
WO-1529,2025-11-17,P-101A,preventive,routine pm - vibn chk,"vibn within limit, cln done",J. Patel,6,closed
WO-1066,2025-11-19,T-401,preventive,paint touch-up,done,K. Menon,3,closed
WO-1482,2025-11-22,T-401,preventive,routine pm as per schedule,"completed, no abnrml found",M. Das,12,closed
WO-1573,2025-11-26,P-101B,preventive,lube top-up,"greased, ok",P. Nair,6,closed
WO-1133,2025-11-30,P-101B,preventive,fastener/guard chk,"retightened, ok",N. Rao,3,closed
WO-1405,2025-12-05,PT-108,preventive,cln unit exterior,cleaned,A. Khan,6,closed
WO-1024,2025-12-09,P-101A,corrective,gland leak minor,"tightnd gland, ok",K. Menon,1,closed
WO-1135,2025-12-10,V-201,preventive,cln unit exterior,cleaned,P. Nair,4,closed
WO-1425,2025-12-16,C-501,corrective,hi vib alarm,"chkd algn, lubd brg",K. Menon,12,closed
WO-1450,2025-12-16,V-201,preventive,routine pm as per schedule,"completed, no abnrml found",M. Das,4,closed
WO-1147,2025-12-23,C-501,preventive,spares availability chk,verified in store,M. Das,2,closed
WO-1512,2025-12-27,E-301,preventive,paint touch-up,done,K. Menon,6,closed
WO-1538,2025-12-30,V-201,preventive,cln unit exterior,cleaned,V. Reddy,0,closed
WO-1319,2026-01-02,P-101A,preventive,paint touch-up,done,J. Patel,12,closed
WO-1178,2026-01-07,V-201,preventive,housekeeping round,area cleaned,P. Nair,6,closed
WO-1564,2026-01-11,P-101B,preventive,paint touch-up,done,T. Bose,8,closed
WO-1545,2026-01-12,P-101A,preventive,paint touch-up,done,N. Rao,3,closed
WO-1270,2026-01-22,P-101A,preventive,paint touch-up,done,S. Iyer,12,closed
WO-1309,2026-01-22,T-401,preventive,cln unit exterior,cleaned,V. Reddy,6,closed
WO-1448,2026-01-25,PT-108,preventive,abnrml reading susp,"chkd, recalib",K. Menon,12,closed
WO-1420,2026-01-26,PT-108,preventive,tag/label refresh,relabelled,N. Rao,2,closed
WO-1257,2026-01-28,T-401,preventive,6-monthly insp,"insp ok, within limit",J. Patel,6,closed
WO-1473,2026-01-29,C-501,preventive,paint touch-up,done,A. Khan,8,closed
WO-1577,2026-01-30,C-501,preventive,oil leak minor,"tightnd flange, cln",P. Nair,4,closed
WO-1565,2026-02-01,E-301,preventive,tag/label refresh,relabelled,T. Bose,8,closed
WO-1547,2026-02-07,PT-108,preventive,lube top-up,"greased, ok",V. Reddy,12,closed
WO-1277,2026-02-09,P-101B,preventive,"brg noise, minor vib","lubd brg, chkd algn",S. Iyer,4,closed
WO-1294,2026-02-11,C-501,preventive,tag/label refresh,relabelled,N. Rao,1,closed
WO-1558,2026-02-12,P-101A,preventive,fastener/guard chk,"retightened, ok",N. Rao,12,closed
WO-1465,2026-02-14,T-401,preventive,tag/label refresh,relabelled,M. Das,12,closed
WO-1347,2026-02-18,E-301,preventive,tag/label refresh,relabelled,K. Menon,6,closed
WO-1460,2026-02-21,V-201,preventive,paint touch-up,done,M. Das,8,closed
WO-1260,2026-02-24,V-201,preventive,fastener/guard chk,"retightened, ok",J. Patel,2,closed
WO-1100,2026-02-28,PT-108,preventive,abnrml reading susp,"chkd, recalib",K. Menon,4,closed
WO-1236,2026-02-28,C-501,preventive,paint touch-up,done,P. Nair,1,closed
WO-1056,2026-03-04,PT-108,preventive,housekeeping round,area cleaned,T. Bose,4,closed
WO-1249,2026-03-07,P-101B,preventive,condition monitoring reading,"reading normal, filed",T. Bose,0,closed
WO-1535,2026-03-10,V-201,preventive,6-monthly insp,"insp ok, within limit",J. Patel,4,closed
WO-1153,2026-03-12,P-101A,preventive,fastener/guard chk,"retightened, ok",N. Rao,12,closed
WO-1341,2026-03-12,P-101A,preventive,gland leak minor,"tightnd gland, ok",S. Iyer,0,closed
WO-1406,2026-03-14,P-101A,preventive,6-monthly insp,"insp ok, within limit",A. Khan,6,closed
WO-1390,2026-03-15,V-201,corrective,relief vlv insp due,relief vlv tested ok,A. Khan,0,closed
WO-1447,2026-03-21,FV-112,preventive,paint touch-up,done,J. Patel,0,closed
WO-1212,2026-03-27,P-101B,corrective,gland leak minor,"tightnd gland, ok",T. Bose,0,closed
WO-1060,2026-03-29,FV-112,preventive,fastener/guard chk,"retightened, ok",R. Sharma,1,closed
WO-1313,2026-04-01,C-501,preventive,routine pm as per schedule,"completed, no abnrml found",A. Khan,8,closed
WO-1190,2026-04-02,T-401,preventive,lube top-up,"greased, ok",J. Patel,1,closed
WO-1160,2026-04-11,T-401,preventive,paint touch-up,done,T. Bose,8,closed
WO-1203,2026-04-12,T-401,preventive,lube top-up,"greased, ok",T. Bose,3,closed
WO-1587,2026-04-14,P-101A,preventive,cln unit exterior,cleaned,N. Rao,3,closed
WO-1519,2026-04-16,V-201,preventive,tag/label refresh,relabelled,J. Patel,3,closed
WO-1306,2026-04-28,PT-108,corrective,abnrml reading susp,"chkd, recalib",V. Reddy,8,closed
WO-1484,2026-04-28,P-101A,preventive,routine pm - vibn chk,"vibn within limit, cln done",N. Rao,8,closed
WO-1225,2026-05-01,T-401,preventive,lube top-up,"greased, ok",V. Reddy,8,closed
WO-1498,2026-05-03,E-301,preventive,dp hi susp choke,"chkd, cln plan raised",R. Sharma,3,closed
WO-1274,2026-05-09,E-301,preventive,routine pm as per schedule,"completed, no abnrml found",V. Reddy,4,closed
WO-1098,2026-05-11,P-101B,preventive,cln unit exterior,cleaned,J. Patel,2,closed
WO-1209,2026-05-13,T-401,preventive,tag/label refresh,relabelled,R. Sharma,4,closed
WO-1380,2026-05-16,E-301,preventive,dp hi susp choke,"chkd, cln plan raised",V. Reddy,4,closed
WO-1028,2026-05-18,V-201,preventive,lube top-up,"greased, ok",P. Nair,3,closed
WO-1166,2026-05-19,V-201,preventive,spares availability chk,verified in store,K. Menon,3,closed
WO-1161,2026-05-22,PT-108,preventive,housekeeping round,area cleaned,T. Bose,0,closed
WO-1342,2026-05-22,T-401,corrective,routine insp,no abnrml found,P. Nair,0,closed
WO-1243,2026-05-24,FV-112,preventive,spares availability chk,verified in store,S. Iyer,6,closed
WO-1355,2026-05-24,E-301,preventive,spares availability chk,verified in store,A. Khan,12,closed
WO-1255,2026-05-26,FV-112,preventive,housekeeping round,area cleaned,V. Reddy,1,closed
WO-1582,2026-05-28,V-201,preventive,relief vlv insp due,relief vlv tested ok,M. Das,0,closed
WO-1020,2026-05-30,FV-112,preventive,spares availability chk,verified in store,V. Reddy,3,closed
WO-1177,2026-05-30,E-301,preventive,condition monitoring reading,"reading normal, filed",V. Reddy,4,closed
WO-1469,2026-05-31,V-201,preventive,level gauge foggy,cln level gauge,P. Nair,1,closed
WO-1055,2026-06-09,FV-112,preventive,paint touch-up,done,A. Khan,3,closed
WO-1438,2026-06-13,T-401,preventive,spares availability chk,verified in store,M. Das,12,closed
WO-1272,2026-06-19,FV-112,preventive,6-monthly insp,"insp ok, within limit",R. Sharma,6,closed
WO-1290,2026-06-30,P-101B,preventive,fastener/guard chk,"retightened, ok",P. Nair,2,closed
WO-1594,2026-07-02,PT-108,corrective,abnrml reading susp,"chkd, recalib",P. Nair,3,closed
WO-1084,2026-07-03,E-301,preventive,routine pm as per schedule,"completed, no abnrml found",A. Khan,8,closed
WO-1090,2026-07-03,E-301,preventive,paint touch-up,done,T. Bose,1,closed
WO-1497,2026-07-06,PT-108,preventive,lube top-up,"greased, ok",N. Rao,1,closed
WO-1298,2026-07-07,E-301,preventive,condition monitoring reading,"reading normal, filed",P. Nair,1,closed
